id,name,calculation_method,payment_subject,vat,price
826,coherent,5,0,4,32.03
827,incremental,1,26,3,56.77
828,Multi-tiered,0,5,4,17.45
829,user-facing,1,4,5,4.56
830,Realigned,1,25,2,63.0
831,directional,6,23,6,20.28
832,Organized,2,1,5,22.02
833,needs-based,5,4,4,87.17
834,Face to face,3,7,0,16.31
835,mobile,5,2,0,84.3
836,concept,6,7,3,14.79
837,Graphic Interface,1,15,5,46.67
838,Profound,1,6,3,73.38
839,bifurcated,0,7,2,13.07
840,ability,1,6,3,11.39
841,paradigm,1,19,0,46.69
842,needs-based,4,16,0,71.59
843,task-force,6,13,3,90.87
844,Business-focused,4,9,1,96.25
845,standardization,3,0,3,9.87
846,Enterprise-wide,5,6,4,70.01
847,User-friendly,1,23,2,25.72
848,coherent,3,1,2,76.34
849,Switchable,4,16,5,83.42
850,24 hour,2,10,4,17.68
851,asynchronous,2,16,2,85.24
852,Adaptive,2,13,5,27.36
853,Mandatory,3,12,5,93.71
854,system engine,3,9,2,73.43
855,Versatile,3,25,4,29.94
856,asymmetric,4,6,5,32.21
857,application,1,10,2,49.33
858,synergy,3,14,3,59.09
859,logistical,3,22,6,60.82
860,homogeneous,2,20,1,38.9
861,composite,5,11,0,97.55
862,attitude,2,4,4,59.96
863,coherent,3,15,5,77.09
864,multimedia,4,6,3,43.96
865,systematic,5,17,1,67.44
866,Virtual,6,19,2,10.24
867,Multi-tiered,3,22,0,3.0
868,bifurcated,6,15,6,84.87
869,installation,5,6,5,56.44
870,software,4,22,6,79.31
871,Centralized,6,8,1,72.44
872,background,0,15,5,61.73
873,responsive,2,23,4,35.97
874,focus group,3,25,2,84.88
875,national,6,10,6,11.36
876,Up-sized,5,4,5,79.35
877,data-warehouse,4,11,6,75.12
878,bifurcated,5,17,5,41.38
879,Universal,4,22,2,77.92
880,client-driven,5,15,2,11.98
881,high-level,2,12,2,91.65
882,explicit,2,6,2,37.89
883,demand-driven,4,20,2,34.37
884,uniform,0,12,2,87.92
885,Persevering,3,0,0,9.84
886,Reverse-engineered,5,21,6,13.94
887,focus group,6,2,4,49.2
888,heuristic,1,22,1,41.29
889,Optimized,3,0,4,26.57
890,superstructure,2,6,1,29.12
891,support,4,16,6,7.46
892,monitoring,0,25,2,82.08
893,attitude-oriented,1,6,4,6.35
894,Expanded,5,21,3,51.71
895,4th generation,6,8,2,30.2
896,explicit,1,24,3,79.81
897,Robust,6,22,2,71.01
898,neural-net,2,1,4,74.81
899,Focused,6,4,2,55.38
900,dynamic,2,1,0,64.15
901,Decentralized,6,3,5,55.93
902,Cross-platform,6,0,1,21.14
903,explicit,5,9,3,99.4
904,empowering,1,13,4,68.67
905,transitional,3,19,2,64.55
906,non-volatile,6,20,0,79.59
907,process improvement,0,23,1,84.72
908,moderator,5,8,0,53.2
909,global,5,24,6,53.2
910,discrete,3,20,0,3.9
911,foreground,4,1,3,14.15
912,Organic,0,16,3,26.65
913,system-worthy,0,4,0,87.25
914,intermediate,2,19,1,78.65
915,productivity,5,23,0,72.47
916,attitude-oriented,0,7,4,13.79
917,Innovative,0,12,4,17.76
918,Horizontal,0,13,0,58.27
919,Innovative,6,21,5,50.53
920,Universal,5,13,6,42.39
921,moratorium,0,19,5,72.52
922,bi-directional,0,8,2,17.12
923,middleware,5,26,0,42.26
924,concept,6,7,2,92.06
925,architecture,1,16,5,91.54
926,bi-directional,6,17,3,25.52
927,optimal,6,17,1,94.92
928,Function-based,0,4,1,17.94
929,methodology,5,26,4,7.38
930,upward-trending,6,12,3,21.8
931,service-desk,0,19,2,52.73
932,infrastructure,1,5,1,73.52
933,modular,2,7,4,41.03
934,Operative,2,16,2,70.61
935,heuristic,1,18,3,97.38
936,infrastructure,1,22,1,21.29
937,analyzer,0,12,5,22.25
938,heuristic,3,13,6,47.44
939,5th generation,5,15,6,38.47
940,homogeneous,1,22,1,41.7
941,info-mediaries,1,16,5,87.43
942,client-driven,6,7,5,52.65
943,Mandatory,1,19,4,11.62
944,zero administration,1,12,2,35.85
945,User-friendly,6,23,4,54.73
946,software,5,2,4,55.99
947,Automated,4,10,1,29.43
948,secured line,6,0,1,15.46
949,Persistent,6,11,6,67.25
950,framework,2,20,6,85.88
951,Secured,5,26,5,26.34
952,flexibility,6,18,3,53.93
953,eco-centric,0,6,5,69.48
954,even-keeled,0,12,3,73.14
955,success,5,0,5,76.24
956,alliance,2,9,4,50.88
957,encoding,1,10,6,67.7
958,Ergonomic,5,7,0,97.64
959,Cloned,1,17,2,27.97
960,transitional,5,3,3,89.99
961,homogeneous,5,7,6,76.74
962,capacity,1,9,6,54.58
963,Synchronised,6,10,2,59.25
964,Ameliorated,5,10,1,52.49
965,ability,6,22,0,18.1
966,budgetary management,1,25,2,67.98
967,hub,3,9,0,11.02
968,Networked,4,22,6,85.95
969,Focused,3,18,5,68.22
970,intangible,6,4,5,83.93
971,workforce,6,25,1,35.73
972,6th generation,6,5,6,55.52
973,Triple-buffered,1,26,5,67.45
974,high-level,1,15,4,79.08
975,Optional,5,0,2,56.42
976,responsive,3,12,0,75.84
977,dedicated,1,14,0,80.64
978,upward-trending,0,23,1,90.08
979,implementation,3,3,3,90.52
980,De-engineered,1,11,3,92.29
981,hardware,5,16,2,30.62
982,encoding,1,5,5,52.34
983,discrete,5,18,3,11.78
984,architecture,5,11,4,29.13
985,homogeneous,0,14,6,28.71
986,systematic,5,15,4,55.49
987,foreground,0,5,4,77.14
988,Advanced,1,4,4,32.61
989,Cross-platform,6,10,0,40.76
990,national,3,14,4,80.44
991,Proactive,4,1,3,84.52
992,Upgradable,3,7,4,21.44
993,hardware,4,21,4,88.24
994,Secured,0,22,4,85.67
995,Multi-channelled,1,16,1,34.61
996,alliance,6,12,2,78.91
997,upward-trending,3,19,0,35.27
998,24/7,0,11,0,23.07
999,bifurcated,0,23,6,38.45
1000,parallelism,1,10,5,93.2
